"","YearWeekISO","FirstDose","FirstDoseRefused","SecondDose","UnknownDose","NumberDosesReceived","Region","Population","ReportingCountry","TargetGroup","Vaccine","Denominator"
"61","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age60_69","AZ",1016016
"62","2021-W01",2176,0,0,0,61425,"AT",8901064,"AT","Age60_69","COM",1016016
"63","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age60_69","MOD",1016016
"64","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"65","2021-W01",1598,0,0,0,61425,"AT",8901064,"AT","Age70_79","COM",769199
"66","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age70_79","MOD",769199
"67","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age70_79","AZ",769199
"68","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"69","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age80+","AZ",474047
"70","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age80+","MOD",474047
"71","2021-W01",3872,0,0,0,61425,"AT",8901064,"AT","Age80+","COM",474047
"72","2021-W01",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
"73","2021-W02",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"74","2021-W02",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","AZ",2259262
"75","2021-W02",79,0,0,0,0,"AT",8901064,"AT","1_Age60+","MOD",2259262
"76","2021-W02",38468,0,173,0,61425,"AT",8901064,"AT","1_Age60+","COM",2259262
"77","2021-W02",9,0,0,0,0,"AT",8901064,"AT","1_Age<60","MOD",5099181
"78","2021-W02",45298,0,198,0,61425,"AT",8901064,"AT","1_Age<60","COM",5099181
"79","2021-W02",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","AZ",5099181
"80","2021-W02",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"81","2021-W02",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"82","2021-W02",0,0,0,0,0,"AT",8901064,"AT","ALL","AZ",7358443
"83","2021-W02",83766,0,371,0,61425,"AT",8901064,"AT","ALL","COM",7358443
"84","2021-W02",88,0,0,0,0,"AT",8901064,"AT","ALL","MOD",7358443
"85","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age18_24","AZ",696064
"86","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"87","2021-W02",2715,0,13,0,61425,"AT",8901064,"AT","Age18_24","COM",696064
"88","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age18_24","MOD",696064
"89","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age25_49","AZ",3006228
"90","2021-W02",1,0,0,0,0,"AT",8901064,"AT","Age25_49","MOD",3006228
"91","2021-W02",24612,0,93,0,61425,"AT",8901064,"AT","Age25_49","COM",3006228
"92","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"93","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age50_59","AZ",1396889
"94","2021-W02",8,0,0,0,0,"AT",8901064,"AT","Age50_59","MOD",1396889
"95","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age50_59","JANSS",1396889
"96","2021-W02",17835,0,91,0,61425,"AT",8901064,"AT","Age50_59","COM",1396889
"97","2021-W02",8875,0,40,0,61425,"AT",8901064,"AT","Age60_69","COM",1016016
"98","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age60_69","AZ",1016016
"99","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age60_69","JANSS",1016016
"100","2021-W02",5,0,0,0,0,"AT",8901064,"AT","Age60_69","MOD",1016016
"101","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age70_79","AZ",769199
"102","2021-W02",8256,0,47,0,61425,"AT",8901064,"AT","Age70_79","COM",769199
"103","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age70_79","JANSS",769199
"104","2021-W02",6,0,0,0,0,"AT",8901064,"AT","Age70_79","MOD",769199
"105","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age80+","AZ",474047
"106","2021-W02",68,0,0,0,0,"AT",8901064,"AT","Age80+","MOD",474047
"107","2021-W02",0,0,0,0,0,"AT",8901064,"AT","Age80+","JANSS",474047
"108","2021-W02",21337,0,86,0,61425,"AT",8901064,"AT","Age80+","COM",474047
"109","2021-W03",25,0,0,0,7200,"AT",8901064,"AT","1_Age60+","MOD",2259262
"110","2021-W03",40103,0,2276,0,58500,"AT",8901064,"AT","1_Age60+","COM",2259262
"111","2021-W03",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","AZ",2259262
"112","2021-W03",0,0,0,0,0,"AT",8901064,"AT","1_Age60+","JANSS",2259262
"113","2021-W03",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","JANSS",5099181
"114","2021-W03",185,0,0,0,7200,"AT",8901064,"AT","1_Age<60","MOD",5099181
"115","2021-W03",52483,0,2127,0,58500,"AT",8901064,"AT","1_Age<60","COM",5099181
"116","2021-W03",0,0,0,0,0,"AT",8901064,"AT","1_Age<60","AZ",5099181
"117","2021-W03",0,0,0,0,0,"AT",8901064,"AT","ALL","JANSS",7358443
"118","2021-W03",210,0,0,0,7200,"AT",8901064,"AT","ALL","MOD",7358443
"119","2021-W03",92586,0,4403,0,58500,"AT",8901064,"AT","ALL","COM",7358443
"120","2021-W03",0,0,0,0,0,"AT",8901064,"AT","ALL","AZ",7358443
"121","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age18_24","AZ",696064
"122","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age18_24","JANSS",696064
"123","2021-W03",24,0,0,0,7200,"AT",8901064,"AT","Age18_24","MOD",696064
"124","2021-W03",3636,0,95,0,58500,"AT",8901064,"AT","Age18_24","COM",696064
"125","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age25_49","JANSS",3006228
"126","2021-W03",30221,0,1162,0,58500,"AT",8901064,"AT","Age25_49","COM",3006228
"127","2021-W03",109,0,0,0,7200,"AT",8901064,"AT","Age25_49","MOD",3006228
"128","2021-W03",0,0,0,0,0,"AT",8901064,"AT","Age25_49","AZ",3006228
"129","2021-W03",18535,0,866,0,58500,"AT",8901064,"AT","Age50_59","COM",1396889
